iter	Passed	Remaining
0	2	1743
1	4	1681
2	6	1657
3	7	1651
4	9	1644
5	11	1641
6	13	1633
7	15	1630
8	17	1628
9	19	1625
10	21	1622
11	23	1620
12	25	1619
13	27	1620
14	29	1616
15	31	1613
16	33	1609
17	35	1609
18	37	1608
19	39	1604
20	41	1600
21	43	1598
22	45	1597
23	47	1594
24	49	1591
25	51	1589
26	53	1585
27	54	1575
28	56	1573
29	58	1572
30	61	1577
31	63	1575
32	65	1575
33	67	1572
34	69	1570
35	71	1569
36	73	1566
37	75	1564
38	77	1561
39	78	1558
40	80	1556
41	82	1554
42	84	1551
43	86	1549
44	89	1563
45	91	1561
46	93	1559
47	95	1558
48	97	1555
49	99	1553
50	101	1551
51	103	1549
52	105	1546
53	107	1543
54	109	1540
55	111	1538
56	113	1536
57	115	1534
58	117	1531
59	119	1528
60	121	1537
61	124	1545
62	127	1550
63	129	1551
64	132	1554
65	134	1559
66	137	1563
67	140	1568
68	141	1565
69	144	1567
70	146	1566
71	149	1572
72	152	1585
73	155	1586
74	157	1588
75	160	1589
76	162	1585
77	164	1588
78	166	1584
79	168	1581
80	170	1577
81	172	1574
82	174	1571
83	176	1568
84	178	1565
85	180	1562
86	182	1559
87	184	1556
88	187	1563
89	189	1561
90	191	1558
91	193	1555
92	195	1551
93	197	1548
94	199	1545
95	201	1543
96	203	1540
97	205	1537
98	207	1534
99	209	1531
100	211	1528
101	213	1525
102	215	1522
103	217	1515
104	219	1512
105	221	1509
106	222	1506
107	224	1503
108	226	1500
109	228	1497
110	230	1494
111	232	1492
112	234	1489
113	236	1487
114	238	1484
115	240	1481
116	242	1479
117	244	1476
118	246	1473
119	248	1470
120	250	1469
121	252	1466
122	254	1463
123	256	1461
124	258	1458
125	260	1456
126	262	1453
127	264	1451
128	266	1448
129	268	1446
130	270	1443
131	272	1441
132	274	1438
133	276	1436
134	278	1434
135	280	1431
136	282	1429
137	284	1427
138	286	1425
139	288	1423
140	290	1420
141	292	1418
142	294	1415
143	296	1414
144	298	1411
145	300	1409
146	302	1407
147	304	1404
148	306	1402
149	308	1400
150	310	1398
151	312	1395
152	314	1393
153	316	1390
154	318	1388
155	320	1385
156	322	1383
157	324	1381
158	326	1378
159	328	1376
160	330	1373
161	332	1371
162	334	1369
163	336	1366
164	338	1364
165	340	1362
166	342	1359
167	344	1358
168	346	1355
169	348	1353
170	350	1350
171	352	1348
172	354	1347
173	356	1345
174	358	1342
175	360	1340
176	362	1338
177	364	1336
178	366	1333
179	368	1331
180	370	1328
181	372	1327
182	374	1324
183	376	1322
184	378	1320
185	380	1318
186	382	1315
187	384	1313
188	386	1311
189	388	1308
190	390	1306
191	392	1304
192	394	1301
193	396	1299
194	398	1297
195	400	1295
196	402	1292
197	404	1290
198	406	1288
199	408	1285
200	410	1283
201	412	1281
202	414	1278
203	416	1276
204	418	1274
205	420	1272
206	422	1270
207	424	1268
208	426	1266
209	428	1263
210	429	1261
211	431	1259
212	433	1257
213	435	1254
214	437	1252
215	439	1250
216	442	1248
217	444	1246
218	446	1244
219	448	1242
220	450	1240
221	452	1238
222	454	1235
223	456	1233
224	458	1231
225	459	1229
226	461	1227
227	463	1225
228	465	1222
229	467	1220
230	470	1219
231	472	1217
232	474	1215
233	476	1213
234	478	1211
235	480	1208
236	482	1207
237	484	1205
238	486	1203
239	488	1201
240	490	1199
241	492	1197
242	494	1194
243	496	1192
244	498	1190
245	500	1188
246	502	1186
247	504	1184
248	506	1182
249	508	1180
250	510	1178
251	512	1176
252	514	1174
253	516	1172
254	518	1169
255	520	1167
256	522	1165
