iter	Passed	Remaining
0	3	3182
1	7	3229
2	10	2825
3	12	2599
4	14	2455
5	17	2352
6	19	2300
7	21	2247
8	24	2216
9	28	2319
10	30	2301
11	33	2279
12	35	2249
13	38	2225
14	40	2207
15	42	2185
16	45	2175
17	48	2198
18	51	2179
19	53	2167
20	55	2154
21	58	2146
22	60	2134
23	63	2126
24	65	2115
25	68	2108
26	70	2099
27	73	2091
28	75	2084
29	77	2076
30	80	2074
31	82	2066
32	85	2058
33	87	2051
34	89	2043
35	92	2037
36	94	2031
37	97	2025
38	99	2017
39	102	2015
40	104	2018
41	107	2016
42	110	2020
43	113	2030
44	116	2026
45	119	2032
46	122	2037
47	125	2036
48	127	2034
49	130	2031
50	132	2028
51	135	2026
52	138	2029
53	141	2030
54	144	2040
55	147	2035
56	149	2029
57	152	2023
58	154	2017
59	156	2012
60	158	2001
61	161	1996
62	163	1990
63	165	1985
64	168	1978
65	170	1973
66	172	1969
67	175	1965
68	178	1963
69	180	1958
70	182	1953
71	185	1949
72	187	1944
73	189	1940
74	192	1934
75	194	1931
76	197	1927
77	199	1922
78	201	1919
79	204	1914
80	206	1910
81	208	1905
82	211	1901
83	213	1896
84	216	1893
85	220	1903
86	222	1903
87	225	1899
88	227	1895
89	230	1891
90	232	1888
91	234	1884
92	237	1880
93	239	1877
94	242	1872
95	244	1869
96	246	1865
97	249	1861
98	252	1863
99	255	1864
100	257	1858
101	259	1854
102	262	1851
103	264	1847
104	266	1843
105	269	1839
106	271	1836
107	274	1833
108	276	1832
109	279	1829
110	283	1833
111	285	1828
112	287	1824
113	290	1821
114	292	1817
115	294	1813
116	296	1808
117	298	1803
118	301	1799
119	303	1796
120	305	1791
121	308	1787
122	310	1784
123	312	1780
124	314	1776
125	317	1773
126	320	1773
127	326	1790
128	330	1796
129	336	1809
130	338	1805
131	340	1800
132	342	1796
133	345	1792
134	347	1788
135	349	1783
136	352	1780
137	354	1776
138	356	1772
139	358	1768
140	360	1763
141	363	1759
142	365	1755
143	367	1751
144	369	1747
145	372	1743
146	374	1739
147	376	1735
148	378	1731
149	381	1727
150	383	1723
151	385	1719
152	387	1716
153	390	1712
154	392	1708
155	394	1705
156	396	1701
157	399	1698
158	401	1694
159	403	1690
160	406	1688
161	408	1685
162	411	1685
163	414	1681
164	416	1678
165	418	1674
166	420	1671
167	423	1667
168	426	1669
169	429	1666
170	431	1662
171	433	1658
172	435	1655
173	438	1652
174	440	1648
175	442	1645
176	446	1647
177	448	1644
178	451	1641
179	453	1638
180	456	1637
181	459	1636
182	461	1632
183	464	1629
184	466	1625
185	468	1622
186	470	1619
187	473	1615
188	475	1612
189	477	1608
190	479	1605
191	482	1602
192	486	1605
193	489	1606
194	492	1602
195	494	1599
196	496	1595
197	499	1594
198	501	1590
