RowNumber,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Surname_encoded,Generation,GeoGender,HasBalance,Active__Prod,Gen_Prod,Gen_Geo
1,619,France,Female,42.0,2,0.0,1,1.0,1.0,101348.88,1,1115,20.0,FranceFemale,N,1.0,20.0,2
2,608,Spain,Female,41.0,1,83807.86,1,0.0,1.0,112542.58,0,1177,20.0,SpainFemale,Y,1.0,20.0,16
3,502,France,Female,42.0,8,159660.8,3,1.0,0.0,113931.57,1,2040,20.0,FranceFemale,Y,0.0,60.0,2
4,699,France,Female,39.0,1,0.0,2,0.0,0.0,93826.63,0,289,10.0,FranceFemale,N,0.0,20.0,1
5,850,Spain,Female,43.0,2,125510.82,1,,1.0,79084.1,0,1822,20.0,SpainFemale,Y,1.0,20.0,16
6,645,Spain,Male,44.0,8,113755.78,2,1.0,0.0,149756.71,1,537,20.0,SpainMale,Y,0.0,40.0,16
7,822,,Male,50.0,7,0.0,2,1.0,1.0,10062.8,0,177,30.0,,N,2.0,60.0,21
8,376,Germany,Female,29.0,4,115046.74,4,1.0,0.0,119346.88,1,2000,0.0,GermanyFemale,Y,0.0,0.0,7
9,501,France,Male,44.0,4,142051.07,2,0.0,,74940.5,0,1146,20.0,FranceMale,Y,,40.0,2
10,684,France,Male,,2,134603.88,1,1.0,1.0,71725.73,0,1081,,FranceMale,Y,1.0,,6
11,528,France,Male,31.0,6,102016.72,2,0.0,0.0,80181.12,0,195,10.0,FranceMale,Y,0.0,20.0,1
12,497,Spain,Male,24.0,3,0.0,2,1.0,0.0,76390.01,0,83,0.0,SpainMale,N,0.0,0.0,14
13,476,France,Female,34.0,10,0.0,2,1.0,0.0,26260.98,0,1369,10.0,FranceFemale,N,0.0,20.0,1
14,549,France,Female,25.0,5,0.0,2,0.0,0.0,190857.79,0,515,0.0,FranceFemale,N,0.0,0.0,0
15,635,Spain,Female,35.0,7,0.0,2,1.0,1.0,65951.65,0,2389,10.0,SpainFemale,N,2.0,20.0,15
16,616,Germany,Male,45.0,3,143129.41,2,0.0,1.0,64327.26,0,1021,20.0,GermanyMale,Y,2.0,40.0,9
17,653,Germany,Male,58.0,1,132602.88,1,1.0,0.0,5097.67,1,2307,30.0,GermanyMale,Y,0.0,30.0,10
18,549,Spain,Female,24.0,9,0.0,2,1.0,1.0,14406.41,0,1154,0.0,SpainFemale,N,2.0,0.0,14
19,587,Spain,Male,45.25,6,0.0,1,0.0,0.0,158684.81,0,1872,20.0,SpainMale,N,0.0,20.0,16
20,726,France,Female,24.0,6,0.0,2,1.0,1.0,54724.03,0,1108,0.0,FranceFemale,N,2.0,0.0,0
21,732,France,Male,41.0,8,0.0,2,1.0,1.0,170886.17,0,1736,20.0,FranceMale,N,2.0,40.0,2
22,636,Spain,Female,32.34,8,0.0,2,1.0,0.0,138555.46,0,697,10.0,SpainFemale,N,0.0,20.0,15
23,510,Spain,Female,38.0,4,0.0,1,1.0,0.0,118913.53,1,991,10.0,SpainFemale,N,0.0,10.0,15
24,669,France,Male,46.0,3,0.0,2,0.0,1.0,8487.75,0,1862,20.0,FranceMale,N,2.0,40.0,2
25,846,France,Female,38.0,5,0.0,1,1.0,1.0,187616.16,0,2880,10.0,FranceFemale,N,1.0,10.0,1
26,577,France,Male,25.0,3,0.0,2,0.0,1.0,124508.29,0,1642,0.0,FranceMale,N,2.0,0.0,0
27,756,Germany,Male,36.44,2,136815.64,1,1.0,1.0,170041.95,0,2897,10.0,GermanyMale,Y,1.0,10.0,8
28,571,France,Male,44.0,9,0.0,2,0.0,0.0,38433.35,0,1908,20.0,FranceMale,N,0.0,40.0,2
29,574,Germany,Female,43.0,3,141349.43,1,1.0,1.0,100187.43,0,1772,20.0,GermanyFemale,Y,1.0,20.0,9
30,411,France,Male,29.0,0,59697.17,2,1.0,1.0,53483.21,0,1609,0.0,FranceMale,Y,2.0,0.0,0
31,591,Spain,Female,39.0,3,0.0,3,1.0,0.0,140469.38,1,133,10.0,SpainFemale,N,0.0,30.0,15
32,533,France,Male,36.0,7,85311.7,1,0.0,1.0,156731.91,0,2007,10.0,FranceMale,Y,1.0,10.0,1
33,553,Germany,Male,41.0,9,110112.54,2,0.0,0.0,81898.81,0,2364,20.0,GermanyMale,Y,0.0,40.0,9
34,520,Spain,Female,42.0,6,0.0,2,1.0,1.0,34410.55,0,1655,20.0,SpainFemale,N,2.0,40.0,16
35,722,Spain,Female,29.0,9,0.0,2,1.0,1.0,142033.07,0,567,0.0,SpainFemale,N,2.0,0.0,14
36,475,France,Female,45.0,0,134264.04,1,1.0,0.0,27822.99,1,1587,20.0,FranceFemale,Y,0.0,20.0,2
37,490,Spain,Male,31.0,3,145260.23,1,0.0,1.0,114066.77,0,2775,10.0,SpainMale,Y,1.0,10.0,15
38,804,Spain,Male,33.0,7,76548.6,1,0.0,1.0,98453.45,0,1594,10.0,SpainMale,Y,1.0,10.0,15
39,850,France,Male,36.0,7,0.0,1,1.0,1.0,40812.9,0,105,10.0,FranceMale,N,1.0,10.0,1
40,582,Germany,Male,41.0,6,70349.48,2,0.0,1.0,178074.04,0,396,20.0,GermanyMale,Y,2.0,40.0,9
41,472,Spain,Male,40.0,4,0.0,1,1.0,0.0,70154.22,0,1231,20.0,SpainMale,N,0.0,20.0,16
42,465,France,Female,51.0,8,122522.32,1,0.0,0.0,181297.65,1,564,30.0,FranceFemale,Y,0.0,30.0,3
43,556,France,Female,61.0,2,117419.35,1,1.0,1.0,94153.83,0,2067,40.0,FranceFemale,Y,1.0,40.0,4
44,834,France,Female,49.0,2,131394.56,1,0.0,0.0,194365.76,1,1508,20.0,FranceFemale,Y,0.0,20.0,2
45,660,Spain,Female,61.0,5,155931.11,1,1.0,1.0,158338.39,0,241,40.0,SpainFemale,Y,1.0,40.0,18
46,776,Germany,Female,32.0,4,109421.13,2,1.0,1.0,126517.46,0,2668,10.0,GermanyFemale,Y,2.0,20.0,8
47,829,Germany,Female,27.0,9,112045.67,1,1.0,1.0,119708.21,1,1689,0.0,GermanyFemale,Y,1.0,0.0,7
48,637,Germany,Female,39.0,9,137843.8,1,1.0,1.0,117622.8,1,2016,10.0,GermanyFemale,Y,1.0,10.0,8
49,550,Germany,Male,38.0,2,103391.38,1,0.0,1.0,90878.13,0,2888,10.0,GermanyMale,Y,1.0,10.0,8
50,776,Germany,Female,37.0,2,103769.22,2,1.0,0.0,194099.12,0,347,10.0,GermanyFemale,Y,0.0,20.0,8
51,698,Germany,Male,44.0,10,116363.37,2,1.0,0.0,198059.16,0,477,20.0,GermanyMale,Y,0.0,40.0,9
52,585,Germany,Male,36.0,5,146050.97,2,0.0,0.0,86424.57,0,2645,10.0,GermanyMale,Y,0.0,20.0,8
